Material,Type of steel profile,Type of connnection,Lateral load resisting system,Height,Irregularities,Ductility,Type of block
Steel,Hot formed members,Welded connection,Moment frame,Low rise (<3 floors),Regular,Non ductile (PGA<0.1g),-
Steel,Hot formed members,Welded connection,Moment frame,Low rise (<3 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Low rise (<3 floors),Regular,High ductility (PGA>0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Low rise (<3 floors),Regular,Unknown,-
Steel,Hot formed members,Welded connection,Moment frame,Low rise (<3 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-
Steel,Hot formed members,Welded connection,Moment frame,Low rise (<3 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Low rise (<3 floors),Irregular-soft storey,High ductility (PGA>0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Low rise (<3 floors),Irregular-soft storey,Unknown,-
Steel,Hot formed members,Welded connection,Moment frame,Low rise (<3 floors),Irregular-torsion,Non ductile (PGA<0.1g),-
Steel,Hot formed members,Welded connection,Moment frame,Low rise (<3 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Low rise (<3 floors),Irregular-torsion,High ductility (PGA>0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Low rise (<3 floors),Irregular-torsion,Unknown,-
Steel,Hot formed members,Welded connection,Moment frame,Low rise (<3 floors),Unknown,Non ductile (PGA<0.1g),-
Steel,Hot formed members,Welded connection,Moment frame,Low rise (<3 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Low rise (<3 floors),Unknown,High ductility (PGA>0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Low rise (<3 floors),Unknown,Unknown,-
Steel,Hot formed members,Welded connection,Moment frame,Mid rise (4-6 floors),Regular,Non ductile (PGA<0.1g),-
Steel,Hot formed members,Welded connection,Moment frame,Mid rise (4-6 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Mid rise (4-6 floors),Regular,High ductility (PGA>0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Mid rise (4-6 floors),Regular,Unknown,-
Steel,Hot formed members,Welded connection,Moment frame,Mid rise (4-6 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-
Steel,Hot formed members,Welded connection,Moment frame,Mid rise (4-6 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Mid rise (4-6 floors),Irregular-soft storey,High ductility (PGA>0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Mid rise (4-6 floors),Irregular-soft storey,Unknown,-
Steel,Hot formed members,Welded connection,Moment frame,Mid rise (4-6 floors),Irregular-torsion,Non ductile (PGA<0.1g),-
Steel,Hot formed members,Welded connection,Moment frame,Mid rise (4-6 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Mid rise (4-6 floors),Irregular-torsion,High ductility (PGA>0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Mid rise (4-6 floors),Irregular-torsion,Unknown,-
Steel,Hot formed members,Welded connection,Moment frame,Mid rise (4-6 floors),Unknown,Non ductile (PGA<0.1g),-
Steel,Hot formed members,Welded connection,Moment frame,Mid rise (4-6 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Mid rise (4-6 floors),Unknown,High ductility (PGA>0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Mid rise (4-6 floors),Unknown,Unknown,-
Steel,Hot formed members,Welded connection,Moment frame,High-rise (7-12 floors),Regular,Non ductile (PGA<0.1g),-
Steel,Hot formed members,Welded connection,Moment frame,High-rise (7-12 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,High-rise (7-12 floors),Regular,High ductility (PGA>0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,High-rise (7-12 floors),Regular,Unknown,-
Steel,Hot formed members,Welded connection,Moment frame,High-rise (7-12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-
Steel,Hot formed members,Welded connection,Moment frame,High-rise (7-12 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,High-rise (7-12 floors),Irregular-soft storey,High ductility (PGA>0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,High-rise (7-12 floors),Irregular-soft storey,Unknown,-
Steel,Hot formed members,Welded connection,Moment frame,High-rise (7-12 floors),Irregular-torsion,Non ductile (PGA<0.1g),-
Steel,Hot formed members,Welded connection,Moment frame,High-rise (7-12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,High-rise (7-12 floors),Irregular-torsion,High ductility (PGA>0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,High-rise (7-12 floors),Irregular-torsion,Unknown,-
Steel,Hot formed members,Welded connection,Moment frame,High-rise (7-12 floors),Unknown,Non ductile (PGA<0.1g),-
Steel,Hot formed members,Welded connection,Moment frame,High-rise (7-12 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,High-rise (7-12 floors),Unknown,High ductility (PGA>0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,High-rise (7-12 floors),Unknown,Unknown,-
Steel,Hot formed members,Welded connection,Moment frame,Tall (>12 floors),Regular,Non ductile (PGA<0.1g),-
Steel,Hot formed members,Welded connection,Moment frame,Tall (>12 floors),Regular,Moderate ductility (0.1g<PGA<0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Tall (>12 floors),Regular,High ductility (PGA>0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Tall (>12 floors),Regular,Unknown,-
Steel,Hot formed members,Welded connection,Moment frame,Tall (>12 floors),Irregular-soft storey,Non ductile (PGA<0.1g),-
Steel,Hot formed members,Welded connection,Moment frame,Tall (>12 floors),Irregular-soft storey,Moderate ductility (0.1g<PGA<0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Tall (>12 floors),Irregular-soft storey,High ductility (PGA>0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Tall (>12 floors),Irregular-soft storey,Unknown,-
Steel,Hot formed members,Welded connection,Moment frame,Tall (>12 floors),Irregular-torsion,Non ductile (PGA<0.1g),-
Steel,Hot formed members,Welded connection,Moment frame,Tall (>12 floors),Irregular-torsion,Moderate ductility (0.1g<PGA<0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Tall (>12 floors),Irregular-torsion,High ductility (PGA>0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Tall (>12 floors),Irregular-torsion,Unknown,-
Steel,Hot formed members,Welded connection,Moment frame,Tall (>12 floors),Unknown,Non ductile (PGA<0.1g),-
Steel,Hot formed members,Welded connection,Moment frame,Tall (>12 floors),Unknown,Moderate ductility (0.1g<PGA<0.3g),-
Steel,Hot formed members,Welded connection,Moment frame,Tall (>12 floors),Unknown,High ductility (PGA>0.3g),-
